Serial No,Primary,Secondary,Tertiary,Source,Photographer,Receptacle,Lining,Image Name
1,Wet,Dry,NA,Apartment,Ishani,Bin,None,IMG_20180131_194216.jpg
2,Dry,NA,NA,House,Ishani,Bin,Plastic,IMG-20180131-WA0022.jpg
3,Dry,NA,NA,House,Ishani,Bin,Plastic,IMG-20180131-WA0023.jpg
4,Dry,NA,Wet,House,Ishani,Bin,Plastic,IMG-20180131-WA0024.jpg
5,Dry,NA,Wet,House,Ishani,Bin,Plastic,IMG-20180131-WA0025.jpg
6,Wet,NA,Dry,House,Kusuma,Bin,None,20180209_100833.jpg
7,Wet,NA,Dry,House,Kusuma,Bin,None,20180209_100841.jpg
8,Wet,NA,Dry,House,Kusuma,Bin,None,20180209_100851.jpg
9,Dry,NA,NA,House,Madhavan,Basket,None,IMG_3443.JPG
10,Dry,NA,NA,House,Madhavan,Basket,None,IMG_3444.JPG
11,Dry,NA,NA,House,Madhavan,Basket,None,IMG_3445.JPG
12,Dry,NA,NA,House,Madhavan,Basket,None,IMG_3446.JPG
13,Dry,NA,NA,House,Madhavan,Basket,None,IMG_3447.JPG
14,Wet,NA,NA,House,Madhavan,Bin,None,IMG_3448.JPG
15,Wet,NA,NA,House,Madhavan,Bin,None,IMG_3449.JPG
16,Wet,NA,NA,House,Madhavan,Bin,None,IMG_3450.JPG
17,Wet,NA,NA,House,Madhavan,Bin,None,IMG_3451.JPG
18,Wet,NA,NA,House,Madhavan,Bin,None,IMG_3452.JPG
19,Wet,NA,NA,House,Madhavan,Bin,None,IMG_3453.JPG
20,Wet,NA,NA,House,Madhavan,Bin,None,IMG_3454.JPG
21,Dry,NA,NA,House,Madhavan,Basket,None,IMG_3455.JPG
22,Dry,NA,NA,House,Madhavan,Basket,None,IMG_3456.JPG
23,Dry,NA,NA,House,Madhavan,Basket,None,IMG_3457.JPG
24,Dry,NA,Wet,House,Madhavan,Bin,Plastic,IMG_3459.JPG
25,Dry,NA,Wet,House,Madhavan,Bin,Plastic,IMG_3460.JPG
26,Dry,NA,NA,House,Madhavan,Basket,None,IMG_3461.JPG
27,Dry,NA,NA,House,Madhavan,Basket,None,IMG_3462.JPG
28,Dry,NA,NA,House,Madhavan,Basket,None,IMG_3463.JPG
29,Dry,NA,Reject,House,Manjunath,Bin,None,IMG_20180126_125915.jpg
30,Dry,NA,Reject,House,Manjunath,Bin,None,IMG_20180126_125933.jpg
31,Dry,NA,Reject,House,Manjunath,Bin,None,IMG_20180126_125947.jpg
32,Dry,NA,Garden,House,Manjunath,Bin,None,IMG_20180126_130000.jpg
33,Wet,NA,NA,House,Manjunath,None,Plastic,IMG_20180126_130039.jpg
34,Wet,NA,NA,House,Manjunath,None,Plastic,IMG_20180126_130108.jpg
35,Wet,NA,NA,House,Manjunath,None,Plastic,IMG_20180126_130116.jpg
36,Wet,NA,NA,House,Manjunath,Basket,None,IMG_20180127_105919.jpg
37,Wet,NA,NA,House,Manjunath,Basket,None,IMG_20180127_105932.jpg
38,Wet,NA,NA,House,Manjunath,Basket,None,IMG_20180127_105945.jpg
39,Wet,NA,NA,House,Manjunath,Basket,None,IMG_20180127_105958.jpg
40,Wet,Dry,NA,House,Manjunath,Basket,None,IMG_20180127_110012.jpg
41,Wet,NA,NA,House,Manjunath,Bin,None,IMG_20180127_110030.jpg
42,Wet,NA,NA,House,Manjunath,None,None,IMG_20180127_110040.jpg
43,Wet,NA,NA,House,Manjunath,None,None,IMG_20180127_110048.jpg
44,Wet,NA,Dry,House,Manjunath,Bin,None,IMG_20180127_110126.jpg
45,Wet,NA,Dry,House,Manjunath,Bin,None,IMG_20180127_110131.jpg
46,Wet,NA,NA,House,Manjunath,None,Plastic,IMG_20180128_140932.jpg
47,Wet,NA,NA,House,Manjunath,None,Plastic,IMG_20180128_140943.jpg
48,Wet,NA,Dry,House,Manjunath,None,Plastic,IMG_20180128_140953.jpg
49,Wet,NA,NA,House,Manjunath,None,Plastic,IMG_20180128_141004.jpg
50,Wet,NA,Dry,House,Manjunath,None,Plastic,IMG_20180128_141012.jpg
51,Wet,NA,NA,House,Manjunath,Bin,None,IMG_20180204_220709.jpg
52,Wet,NA,NA,House,Manjunath,Bin,None,IMG_20180204_220719.jpg
53,Wet,NA,NA,House,Manjunath,Bin,None,IMG_20180204_220723.jpg
54,Wet,NA,NA,House,Manjunath,Bin,None,IMG_20180204_220728.jpg
55,Dry,Wet,NA,House,Manjunath,None,Plastic,IMG_20180204_220949.jpg
56,Dry,Wet,NA,House,Manjunath,None,Plastic,IMG_20180204_220953.jpg
57,Dry,Wet,NA,House,Manjunath,None,Plastic,IMG_20180204_220959.jpg
58,Dry,Wet,NA,House,Manjunath,None,Plastic,IMG_20180204_221003.jpg
59,Dry,Wet,NA,House,Manjunath,None,Plastic,IMG_20180204_221006.jpg
60,Dry,Wet,NA,House,Manjunath,None,Plastic,IMG_20180204_221021.jpg
61,Dry,Wet,NA,House,Manjunath,None,Plastic,IMG_20180204_221032.jpg
62,Dry,Wet,NA,House,Manjunath,None,Plastic,IMG_20180204_221039.jpg
63,Dry,NA,Reject,Apartment,Pradeep,Bin,None,IMG_2521.JPG
64,Dry,NA,Wet,Apartment,Pradeep,Bin,None,IMG_2522.JPG
65,Wet,Dry,NA,Apartment,Pradeep,Bin,None,IMG_2523.JPG
66,Wet,Garden,Dry,Apartment,Pradeep,Bin,None,IMG_2625.JPG
67,Dry,Reject,NA,Apartment,Pradeep,Bin,None,IMG_2626.JPG
68,Dry,NA,Wet,Apartment,Pradeep,Bin,None,IMG_2750.JPG
69,Wet,NA,Dry,Apartment,Pradeep,Bin,None,IMG_2751.JPG
70,Wet,NA,Dry,Apartment,Pradeep,Bin,None,IMG_2752.JPG
71,Wet,Garden,Dry,Apartment,Pradeep,Bin,None,IMG_2803.JPG
72,Wet,Garden,Dry,Apartment,Pradeep,Bin,None,IMG_2804.JPG
73,Dry,NA,Wet,Apartment,Pradeep,Bin,None,IMG_2805.JPG
74,Dry,Reject,NA,Apartment,Pradeep,Bin,None,IMG_2806.JPG
75,Dry,NA,Wet,Apartment,Pradeep,Bin,None,IMG_2807.JPG
76,Dry,NA,Wet,Apartment,Pradeep,Bin,None,IMG_2808.JPG
77,Dry,NA,Wet,Apartment,Pradeep,Bin,None,IMG_2809.JPG
78,Dry,NA,Garden,Apartment,Pradeep,Bin,None,IMG_2810.JPG
79,Dry,NA,NA,Apartment,Pradeep,Bin,Plastic,IMG_2815.JPG
80,Wet,Dry,NA,Apartment,Pradeep,Bin,None,IMG_2819.JPG
81,Wet,Dry,NA,Apartment,Pradeep,Bin,None,IMG_2820.JPG
82,Dry,Reject,NA,Apartment,Pradeep,Bin,None,IMG_2821.JPG
83,Dry,NA,NA,Apartment,Pradeep,Bin,None,IMG_2822.JPG
84,Wet,Dry,NA,Apartment,Pradeep,Bin,None,IMG_2833.JPG
85,Wet,Dry,NA,Apartment,Pradeep,Bin,None,IMG_2834.JPG
86,Wet,Dry,Garden,Apartment,Pradeep,Bin,None,IMG_2835.JPG
87,Dry,Garden,Wet,Apartment,Pradeep,Bin,None,IMG_2836.JPG
88,Dry,Garden,Wet,Apartment,Pradeep,Bin,None,IMG_2837.JPG
89,Dry,Wet,Garden,Apartment,Pradeep,Bin,None,IMG_2838.JPG
90,Wet,Garden,Dry,Apartment,Pradeep,Bin,None,IMG_2842.JPG
91,Dry,NA,Garden,Apartment,Pradeep,Bin,None,IMG_2843.JPG
92,Dry,NA,Garden,Apartment,Pradeep,Bin,None,IMG_2844.JPG
93,Wet,Garden,Dry,Apartment,Pradeep,Bin,None,IMG_2845.JPG
94,Wet,NA,Dry,Apartment,Pradeep,Bin,None,IMG_2918.JPG
95,Wet,NA,Dry,Apartment,Pradeep,Bin,None,IMG_2919.JPG
96,Dry,NA,NA,Apartment,Pradeep,Bin,None,IMG_2920.JPG
97,Dry,NA,NA,Apartment,Pradeep,Bin,None,IMG_2921.JPG
98,Dry,Reject,NA,Apartment,Pradeep,Bin,None,IMG_2922.JPG
99,Dry,Reject,NA,Apartment,Pradeep,Bin,None,IMG_2923.JPG
