Serial No,Primary,Secondary,Tertiary,Source,Photographer,Receptacle,Lining,Image Name
1,Dry,NA,Wet,House,Prashant,Bin,None,20180210_095359.jpg
2,Dry,NA,Wet,House,Prashant,Bin,None,20180210_095412.jpg
3,Dry,NA,NA,House,Prashant,None,Cloth Bag,20180210_112759.jpg
4,Dry,NA,NA,House,Prashant,None,Cloth Bag,20180210_112802.jpg
5,Dry,NA,NA,House,Prashant,None,Cloth Bag,20180210_112810.jpg
6,Dry,NA,NA,House,Prashant,None,Cloth Bag,20180210_112815.jpg
7,Dry,NA,NA,House,Prashant,None,Cloth Bag,20180210_112821.jpg
8,Dry,NA,NA,House,Prashant,None,Cloth Bag,20180210_112827.jpg
9,Dry,Wet,NA,House,Prashant,Bin,Plastic,20180210_112835.jpg
10,Dry,Wet,NA,House,Prashant,Bin,Plastic,20180210_112840.jpg
11,Dry,Wet,NA,House,Prashant,Bin,Plastic,20180210_112845.jpg
12,Dry,Reject,NA,House,Prashant,Bin,None,20180210_112905.jpg
13,Dry,Reject,NA,House,Prashant,Bin,None,20180210_112914.jpg
14,Dry,Reject,NA,House,Prashant,Bin,None,20180210_112921.jpg
15,Dry,Reject,NA,House,Prashant,Bin,None,20180210_112940.jpg
16,Dry,NA,NA,House,Prashant,Bin,Plastic,20180210_113549.jpg
17,Dry,NA,NA,House,Prashant,Bin,Plastic,20180210_113555.jpg
18,Dry,NA,NA,House,Prashant,Bin,Plastic,20180210_113601.jpg
19,Dry,NA,NA,House,Prashant,Bin,Plastic,20180210_113606.jpg
20,Dry,NA,NA,House,Prashant,Bin,Plastic,20180210_113620.jpg
21,Dry,NA,NA,House,Prashant,Bin,None,20180210_113626.jpg
22,Dry,NA,NA,House,Prashant,Bin,None,20180210_113634.jpg
23,Dry,NA,NA,House,Prashant,Bin,Plastic,20180210_113643.jpg
24,Dry,NA,NA,House,Prashant,Bin,Plastic,20180210_113651.jpg
25,Wet,Dry,NA,House,Prashant,Bin,None,20180210_113704.jpg
26,Wet,Dry,NA,House,Prashant,Bin,None,20180210_113709.jpg
27,Wet,Dry,NA,House,Prashant,Bin,None,20180210_113717.jpg
28,Wet,Dry,NA,House,Prashant,Bin,None,20180210_113726.jpg
29,Dry,NA,Garden,House,Prashant,Bin,None,20180210_113802.jpg
30,Dry,NA,NA,House,Prashant,Bin,None,20180210_113808.jpg
31,Dry,Garden,Wet,House,Prashant,Bin,None,20180210_113819.jpg
32,Dry,Garden,Wet,House,Prashant,Bin,None,20180210_113826.jpg
33,Dry,NA,Wet,House,Prashant,Bin,None,20180210_114826.jpg
34,Dry,NA,Wet,House,Prashant,Bin,None,20180210_114829.jpg
35,Wet,Dry,NA,House,Prashant,Carton,None,20180211_084453.jpg
36,Wet,Dry,NA,House,Prashant,Carton,None,20180211_084504.jpg
37,Wet,Dry,NA,House,Prashant,Carton,None,20180211_084516.jpg
38,Dry,NA,Reject,House,Prashant,Bin,Plastic,20180211_084754.jpg
39,Dry,NA,Reject,House,Prashant,Bin,Plastic,20180211_084801.jpg
40,Dry,NA,Reject,House,Prashant,Bin,Plastic,20180211_084809.jpg
41,Dry,NA,Reject,House,Prashant,Bin,Plastic,20180211_084819.jpg
42,Dry,NA,Reject,House,Prashant,Bin,Plastic,20180211_084825.jpg
43,Dry,NA,Reject,House,Prashant,Bin,Plastic,20180211_084832.jpg
44,Dry,NA,NA,House,Prashant,Bin,Plastic,20180211_084851.jpg
45,Dry,NA,NA,House,Prashant,Bin,Plastic,20180211_084857.jpg
46,Dry,NA,Reject,House,Prashant,Bin,Plastic,20180211_084941.jpg
47,Dry,NA,Reject,House,Prashant,Bin,Plastic,20180211_084949.jpg
48,Reject,NA,NA,House,Prashant,Bin,None,20180211_085038.jpg
49,Reject,NA,NA,House,Prashant,Bin,None,20180211_085048.jpg
50,Wet,NA,NA,House,Prashant,Bin,None,20180211_085108.jpg
51,Wet,NA,NA,House,Prashant,Bin,None,20180211_085115.jpg
52,Wet,NA,NA,House,Prashant,Bin,Plastic,20180211_085125.jpg
53,Wet,NA,NA,House,Prashant,Bin,Plastic,20180211_085133.jpg
54,Dry,NA,Wet,House,Prashant,Bin,Plastic,20180211_085155.jpg
55,Dry,NA,Wet,House,Prashant,Bin,Plastic,20180211_085157.jpg
56,Dry,NA,Wet,House,Prashant,Bin,Plastic,20180211_085200.jpg
57,Wet,NA,NA,House,Prashant,None,Newspaper,20180211_085246.jpg
58,Wet,NA,NA,House,Prashant,None,Newspaper,20180211_085250.jpg
59,Wet,NA,NA,House,Prashant,None,Newspaper,20180211_085257.jpg
60,Dry,NA,NA,House,Prashant,Bin,None,20180211_085537.jpg
61,Dry,NA,NA,House,Prashant,Bin,None,20180211_085547.jpg
62,Dry,NA,NA,House,Prashant,Bin,None,20180211_085554.jpg
63,Wet,NA,NA,House,Prashant,Bin,Newspaper,20180211_101625.jpg
64,Wet,NA,NA,House,Prashant,Bin,Newspaper,20180211_101630.jpg
65,Wet,NA,NA,House,Prashant,Bin,Newspaper,20180211_101633.jpg
66,Wet,NA,NA,House,Prashant,Bin,Newspaper,20180211_101639.jpg
67,Dry,NA,NA,House,Prashant,None,Plastic,20180211_101645.jpg
68,Dry,NA,NA,House,Prashant,None,Plastic,20180211_101647.jpg
69,Dry,NA,NA,House,Prashant,None,Plastic,20180211_101655.jpg
70,Dry,NA,Reject,House,Prashant,Bin,None,20180211_101719.jpg
71,Dry,NA,Reject,House,Prashant,Bin,None,20180211_101723.jpg
72,Dry,NA,Reject,House,Prashant,Bin,None,20180211_101733.jpg
73,Dry,NA,NA,House,Prashant,None,Cloth Bag,20180211_101749.jpg
74,Dry,NA,NA,House,Prashant,Bin,Newspaper,20180211_101752.jpg
75,Dry,NA,NA,House,Prashant,None,Cloth Bag,20180211_101758.jpg
76,Dry,NA,NA,House,Prashant,None,Cloth Bag,20180211_101803.jpg
77,Wet,NA,NA,House,Prashant,Bin,Plastic,20180211_101807.jpg
78,Wet,NA,NA,House,Prashant,Bin,Plastic,20180211_101809.jpg
79,Wet,NA,NA,House,Prashant,Bin,Plastic,20180211_101812.jpg
80,Dry,NA,NA,House,Prashant,Bin,None,20180211_101821.jpg
81,Dry,NA,NA,House,Prashant,Bin,None,20180211_101824.jpg
82,Dry,NA,NA,House,Prashant,Bin,None,20180211_101829.jpg
83,Dry,NA,NA,House,Prashant,Bin,None,20180211_101835.jpg
84,Dry,NA,Wet,House,Prashant,Bin,None,20180211_101909.jpg
85,Dry,NA,Wet,House,Prashant,Bin,None,20180211_101912.jpg
86,Dry,NA,Wet,House,Prashant,Bin,None,20180211_101918.jpg
87,Wet,NA,NA,House,Prashant,Bin,None,20180211_101923.jpg
88,Wet,NA,NA,House,Prashant,Bin,None,20180211_101928.jpg
89,Dry,NA,Wet,House,Prashant,None,Plastic,20180211_102001.jpg
90,Dry,NA,Wet,House,Prashant,None,Plastic,20180211_102006.jpg
91,Dry,NA,Wet,House,Prashant,None,Plastic,20180211_102012.jpg
92,Dry,NA,Wet,House,Prashant,None,Plastic,20180211_102022.jpg
93,Dry,NA,Garden,House,Prashant,Bin,None,20180211_102030.jpg
94,Dry,NA,Reject,House,Prashant,Bin,None,20180211_102044.jpg
95,Dry,NA,Reject,House,Prashant,Bin,None,20180211_102050.jpg
96,Dry,Wet,NA,House,Prashant,Bin,Newspaper,20180211_102056.jpg
97,Dry,Wet,NA,House,Prashant,Bin,Newspaper,20180211_102101.jpg
98,Wet,Dry,NA,House,Prashant,Bin,Plastic,20180211_102108.jpg
99,Wet,Dry,NA,House,Prashant,Bin,Plastic,20180211_102114.jpg
100,Dry,NA,NA,House,Prashant,None,Plastic,20180211_102119.jpg
101,Dry,NA,NA,House,Prashant,None,None,20180211_102131.jpg
102,Dry,NA,NA,House,Prashant,None,Plastic,20180211_102212.jpg
103,Dry,NA,NA,House,Prashant,None,Plastic,20180211_102215.jpg
104,Dry,NA,NA,House,Prashant,None,Plastic,20180211_102218.jpg
105,Dry,NA,NA,House,Prashant,None,Plastic,20180211_102220.jpg
106,Wet,NA,NA,House,Prashant,None,Newspaper,20180211_102230.jpg
107,Wet,NA,NA,House,Prashant,None,Newspaper,20180211_102232.jpg
108,Wet,NA,NA,House,Prashant,None,Newspaper,20180211_102239.jpg
109,Dry,NA,NA,House,Prashant,Bin,Newspaper,20180211_102252.jpg
110,Dry,NA,NA,House,Prashant,Bin,Newspaper,20180211_102255.jpg
111,Dry,NA,NA,House,Prashant,None,Plastic,20180211_102301.jpg
112,Dry,NA,NA,House,Prashant,None,Plastic,20180211_102305.jpg
113,Dry,NA,NA,House,Prashant,None,Plastic,20180211_102310.jpg
114,Wet,NA,NA,House,Prashant,Bin,Newspaper,20180211_102318.jpg
115,Wet,NA,NA,House,Prashant,Bin,Newspaper,20180211_102322.jpg
116,Wet,Dry,NA,House,Prashant,Bin,None,20180211_102331.jpg
117,Wet,Dry,NA,House,Prashant,Bin,None,20180211_102338.jpg
118,Wet,Dry,NA,House,Prashant,Bin,None,20180211_102343.jpg
119,Dry,NA,NA,House,Prashant,None,Plastic,20180211_102423.jpg
120,Dry,NA,NA,House,Prashant,None,Plastic,20180211_102424.jpg
121,Dry,NA,NA,House,Prashant,None,Plastic,20180211_102426.jpg
122,Dry,NA,NA,House,Prashant,None,Plastic,20180211_102429.jpg
123,Dry,NA,NA,House,Prashant,Bin,None,20180211_102437.jpg
124,Wet,NA,Dry,House,Prashant,Bin,None,20180211_102448.jpg
125,Wet,NA,Dry,House,Prashant,Bin,None,20180211_102453.jpg
126,Dry,NA,NA,House,Prashant,None,Plastic,20180211_102547.jpg
127,Dry,NA,NA,House,Prashant,None,Plastic,20180211_102548.jpg
128,Dry,NA,NA,House,Prashant,None,Plastic,20180211_102552.jpg
129,Wet,Dry,NA,House,Prashant,None,Newspaper,20180211_102600.jpg
130,Wet,Dry,NA,House,Prashant,None,Newspaper,20180211_102602.jpg
131,Wet,Dry,NA,House,Prashant,None,Newspaper,20180211_102605.jpg
132,Dry,NA,NA,House,Prashant,Bin,None,20180211_102609.jpg
133,Dry,NA,Wet,House,Prashant,Bin,None,20180211_102615.jpg
134,Dry,NA,Wet,House,Prashant,Bin,None,20180211_102621.jpg
135,Dry,NA,NA,House,Prashant,None,Plastic,20180211_102626.jpg
136,Dry,NA,NA,House,Prashant,None,Plastic,20180211_102627.jpg
137,Wet,Dry,NA,House,Prashant,Bin,Newspaper,20180211_102700.jpg
138,Wet,Dry,NA,House,Prashant,Bin,Newspaper,20180211_102707.jpg
139,Wet,NA,NA,House,Prashant,Bin,Newspaper,20180211_102722.jpg
140,Wet,NA,NA,House,Prashant,Bin,Newspaper,20180211_102729.jpg
141,Wet,NA,NA,House,Prashant,Bin,Newspaper,20180211_102732.jpg
142,Dry,NA,Garden,House,Prashant,None,Newspaper,20180211_102740.jpg
143,Dry,NA,Garden,House,Prashant,None,Newspaper,20180211_102742.jpg
144,Dry,NA,NA,House,Prashant,None,Plastic,20180211_102752.jpg
145,Dry,NA,NA,House,Prashant,None,Plastic,20180211_102757.jpg
146,Dry,Garden,NA,House,Prashant,None,Plastic,20180211_102832.jpg
147,Dry,Garden,NA,House,Prashant,None,Plastic,20180211_102836.jpg
148,Dry,NA,Wet,House,Prashant,Bin,Newspaper,20180211_102844.jpg
149,Dry,NA,NA,House,Prashant,None,Plastic,20180211_102926.jpg
150,Dry,NA,NA,House,Prashant,None,Plastic,20180211_102929.jpg
151,Dry,NA,Wet,House,Prashant,None,Plastic,20180211_102931.jpg
152,Wet,NA,Dry,House,Prashant,Bin,Newspaper,20180211_102943.jpg
153,Wet,NA,Dry,House,Prashant,Bin,Newspaper,20180211_102948.jpg
154,Wet,NA,Dry,House,Prashant,Bin,Newspaper,20180211_102954.jpg
155,Dry,NA,Wet,House,Prashant,Bin,Newspaper,20180211_103005.jpg
156,Dry,NA,Wet,House,Prashant,Bin,Newspaper,20180211_103008.jpg
157,Dry,NA,Wet,House,Prashant,Bin,Newspaper,20180211_103011.jpg
158,Dry,NA,Wet,House,Prashant,Bin,Newspaper,20180211_103014.jpg
159,Dry,NA,NA,House,Prashant,None,Plastic,20180211_103030.jpg
160,Dry,NA,NA,House,Prashant,None,Plastic,20180211_103036.jpg
161,Wet,Dry,NA,House,Prashant,Bin,Plastic,20180211_103045.jpg
162,Wet,Dry,NA,House,Prashant,Bin,Plastic,20180211_103050.jpg
163,Wet,Dry,NA,House,Prashant,Bin,Plastic,20180211_103055.jpg
164,Dry,Reject,NA,House,Prashant,Bin,Plastic,20180211_103110.jpg
165,Dry,Reject,NA,House,Prashant,Bin,Plastic,20180211_103115.jpg
166,Wet,NA,Dry,House,Prashant,Bin,None,20180211_103127.jpg
167,Wet,NA,Dry,House,Prashant,Bin,None,20180211_103131.jpg
168,Wet,NA,Dry,House,Prashant,Bin,None,20180211_103138.jpg
169,Dry,NA,Wet,House,Prashant,None,Plastic,20180211_103148.jpg
170,Dry,NA,Wet,House,Prashant,None,Plastic,20180211_103152.jpg
171,Dry,NA,Wet,House,Prashant,None,Plastic,20180211_103157.jpg
172,Wet,Reject,Dry,House,Prashant,Bin,None,20180211_103255.jpg
173,Wet,Reject,Dry,House,Prashant,Bin,None,20180211_103301.jpg
174,Wet,Reject,Dry,House,Prashant,Bin,None,20180211_103308.jpg
175,Dry,Wet,NA,House,Prashant,Bin,None,20180211_103317.jpg
176,Dry,Wet,NA,House,Prashant,Bin,None,20180211_103321.jpg
177,Dry,Wet,NA,House,Prashant,Bin,None,20180211_103327.jpg
178,Dry,NA,Wet,House,Prashant,Bin,None,20180211_103349.jpg
179,Dry,NA,Wet,House,Prashant,Bin,None,20180211_103355.jpg
180,Dry,NA,NA,House,Prashant,None,Plastic,20180211_103358.jpg
181,Dry,NA,NA,House,Prashant,None,Plastic,20180211_103400.jpg
182,Dry,NA,NA,House,Prashant,None,Plastic,20180211_103406.jpg
183,Dry,NA,NA,House,Prashant,None,Plastic,20180211_103409.jpg
184,Dry,Wet,NA,House,Prashant,Bin,Newspaper,20180211_103417.jpg
185,Dry,Wet,NA,House,Prashant,Bin,Newspaper,20180211_103419.jpg
186,Dry,Wet,NA,House,Prashant,Bin,Newspaper,20180211_103422.jpg
187,Dry,NA,NA,House,Prashant,None,Plastic,20180211_103427.jpg
188,Dry,NA,NA,House,Prashant,None,Plastic,20180211_103429.jpg
189,Dry,Wet,NA,House,Prashant,Bin,Newspaper,20180211_103508.jpg
190,Dry,Wet,NA,House,Prashant,Bin,Newspaper,20180211_103513.jpg
191,Dry,Wet,NA,House,Prashant,Bin,Newspaper,20180211_103519.jpg
192,Dry,NA,NA,House,Prashant,None,Plastic,20180211_103525.jpg
193,Dry,NA,NA,House,Prashant,None,Plastic,20180211_103529.jpg
194,Dry,NA,NA,House,Prashant,None,Plastic,20180211_103533.jpg
195,Wet,NA,NA,House,Prashant,Bin,Newspaper,20180211_103557.jpg
196,Wet,NA,NA,House,Prashant,None,Plastic,20180211_103645.jpg
197,Wet,NA,NA,House,Prashant,None,Plastic,20180211_103651.jpg
198,Dry,NA,Wet,House,Prashant,None,Plastic,20180211_103658.jpg
199,Wet,Dry,NA,House,Prashant,Bin,None,20180211_103713.jpg
200,Wet,Dry,NA,House,Prashant,Bin,None,20180211_103717.jpg
201,Dry,NA,NA,House,Prashant,None,Plastic,20180211_103724.jpg
202,Dry,NA,NA,House,Prashant,None,Plastic,20180211_103730.jpg
203,Reject,NA,NA,House,Prashant,None,None,20180211_105220.jpg
204,Reject,NA,NA,House,Prashant,None,None,20180211_105223.jpg
205,Wet,NA,NA,House,Prashant,Bin,Newspaper,20180211_105228.jpg
206,Wet,NA,NA,House,Prashant,Bin,Newspaper,20180211_105230.jpg
207,Wet,NA,NA,House,Prashant,Bin,Newspaper,20180211_105232.jpg
208,Dry,Reject,Wet,House,Prashant,None,Plastic,20180211_110345.jpg
209,Dry,NA,Wet,House,Prashant,Bin,Plastic,20180210_094828.jpg
210,Dry,NA,Wet,House,Prashant,Bin,Plastic,20180210_094835.jpg
211,Dry,NA,Wet,House,Prashant,Bin,Plastic,20180210_094846.jpg
212,Dry,NA,Wet,House,Prashant,Bin,Plastic,20180210_094853.jpg
213,Dry,NA,NA,House,Prashant,Bin,Plastic,20180210_094859.jpg
214,Dry,NA,Wet,House,Prashant,Bin,Plastic,20180210_094906.jpg
215,Dry,NA,Wet,House,Prashant,Bin,Plastic,20180210_094929.jpg
216,Dry,NA,Wet,House,Prashant,Bin,Plastic,20180210_094935.jpg
217,Dry,NA,NA,House,Prashant,Bin,None,20180210_094949.jpg
218,Wet,NA,Dry,House,Prashant,Bin,Plastic,20180210_094956.jpg
219,Wet,Dry,NA,House,Prashant,Bin,Plastic,20180210_095005.jpg
220,Dry,NA,Garden,House,Prashant,Bin,None,20180210_095031.jpg
221,Dry,NA,Garden,House,Prashant,Bin,None,20180210_095037.jpg
222,Dry,NA,Garden,House,Prashant,Bin,None,20180210_095044.jpg
223,Wet,Garden,Dry,House,Prashant,Bin,None,20180210_095249.jpg
224,Wet,Garden,Dry,House,Prashant,Bin,None,20180210_095253.jpg
225,Wet,Garden,Dry,House,Prashant,Bin,None,20180210_095300.jpg
226,Wet,Garden,Dry,House,Prashant,Bin,None,20180210_095304.jpg
227,Wet,NA,Garden,House,Prashant,Bin,None,20180210_095314.jpg
228,Wet,NA,Garden,House,Prashant,Bin,None,20180210_095318.jpg
229,Wet,NA,Garden,House,Prashant,Bin,None,20180210_095324.jpg
230,Dry,Wet,Garden,House,Prashant,Bin,None,20180210_095331.jpg
231,Dry,Wet,Garden,House,Prashant,Bin,None,20180210_095335.jpg
232,Dry,Wet,Garden,House,Prashant,Bin,None,20180210_095344.jpg
233,Dry,Wet,Garden,House,Prashant,Bin,None,20180210_095350.jpg
