Serial No,Primary,Secondary,Tertiary,Source,Photographer,Receptacle,Lining,Image Name
1,Dry,NA,Wet,House,Pravada,Bin,Plastic,IMG_20180203_193142.jpg
2,Dry,NA,Wet,House,Pravada,Bin,Plastic,IMG_20180203_193220.jpg
3,Dry,NA,Wet,House,Pravada,Bin,Plastic,IMG_20180203_193225.jpg
4,Dry,NA,Wet,House,Pravada,Bin,Plastic,IMG_20180203_193231.jpg
5,Wet,Dry,NA,House,Pravada,Bin,Plastic,IMG_20180203_193242.jpg
6,Wet,Dry,NA,House,Pravada,Bin,Plastic,IMG_20180203_193247.jpg
7,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180203_193303.jpg
8,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180203_193306.jpg
9,Dry,NA,NA,House,Pravada,Bin,Plastic,IMG_20180203_193321.jpg
10,Dry,NA,NA,House,Pravada,Bin,Plastic,IMG_20180203_193325.jpg
11,Dry,NA,NA,House,Pravada,Bin,Plastic,IMG_20180203_193329.jpg
12,Dry,Reject,Wet,House,Pravada,Bin,Plastic,IMG_20180203_193341.jpg
13,Dry,Reject,Wet,House,Pravada,Bin,Plastic,IMG_20180203_193343.jpg
14,Dry,Reject,Wet,House,Pravada,Bin,Plastic,IMG_20180203_193351.jpg
15,Dry,NA,NA,House,Pravada,Bin,Plastic,IMG_20180203_193402.jpg
16,Dry,NA,NA,House,Pravada,Bin,Plastic,IMG_20180203_193407.jpg
17,Dry,Wet,Reject,House,Pravada,Bin,Plastic,IMG_20180203_193439.jpg
18,Dry,Wet,Reject,House,Pravada,Bin,Plastic,IMG_20180203_193444.jpg
19,Dry,Wet,Reject,House,Pravada,Bin,Plastic,IMG_20180203_193448.jpg
20,Wet,NA,Dry,House,Pravada,Bin,Plastic,IMG_20180203_193507.jpg
21,Wet,NA,Dry,House,Pravada,Bin,Plastic,IMG_20180203_193511.jpg
22,Dry,Wet,Reject,House,Pravada,Bin,Plastic,IMG_20180203_193522.jpg
23,Dry,Wet,Reject,House,Pravada,Bin,Plastic,IMG_20180203_193526.jpg
24,Dry,Wet,Reject,House,Pravada,Bin,Plastic,IMG_20180203_193530.jpg
25,Dry,NA,NA,House,Pravada,Bin,Plastic,IMG_20180203_193542.jpg
26,Dry,NA,NA,House,Pravada,Bin,Plastic,IMG_20180203_193546.jpg
27,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180203_193557.jpg
28,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180203_193601.jpg
29,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180203_193606.jpg
30,Dry,NA,Wet,House,Pravada,Bin,Plastic,IMG_20180205_084411.jpg
31,Dry,NA,Wet,House,Pravada,Bin,Plastic,IMG_20180205_084420.jpg
32,Dry,NA,Wet,House,Pravada,Bin,Plastic,IMG_20180205_084425.jpg
33,Dry,NA,NA,House,Pravada,Bin,Plastic,IMG_20180205_084450.jpg
34,Dry,NA,NA,House,Pravada,Bin,Plastic,IMG_20180205_084809.jpg
35,Dry,NA,NA,House,Pravada,Bin,Plastic,IMG_20180205_084815.jpg
36,Wet,Dry,Garden,House,Pravada,Bin,Plastic,IMG_20180205_215312.jpg
37,Wet,Dry,Garden,House,Pravada,Bin,Plastic,IMG_20180205_215319.jpg
38,Wet,Dry,Garden,House,Pravada,Bin,Plastic,IMG_20180205_215324.jpg
39,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_215351.jpg
40,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_215357.jpg
41,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_215412.jpg
42,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_215417.jpg
43,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_215425.jpg
44,Wet,NA,NA,House,Pravada,Bin,Plastic,IMG_20180205_215435.jpg
45,Wet,NA,NA,House,Pravada,Bin,Plastic,IMG_20180205_215441.jpg
46,Wet,NA,NA,House,Pravada,Bin,Plastic,IMG_20180205_215446.jpg
47,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_215603.jpg
48,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_215607.jpg
49,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_215614.jpg
50,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_215624.jpg
51,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_215628.jpg
52,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_215633.jpg
53,Wet,Dry,NA,House,Pravada,Bin,Plastic,IMG_20180205_215649.jpg
54,Wet,Dry,NA,House,Pravada,Bin,Plastic,IMG_20180205_215653.jpg
55,Wet,Dry,NA,House,Pravada,Bin,Plastic,IMG_20180205_215658.jpg
56,Wet,Dry,NA,House,Pravada,Bin,Plastic,IMG_20180205_215714.jpg
57,Wet,Dry,NA,House,Pravada,Bin,Plastic,IMG_20180205_215718.jpg
58,Wet,Dry,NA,House,Pravada,Bin,Plastic,IMG_20180205_215724.jpg
59,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_215732.jpg
60,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_215736.jpg
61,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_215818.jpg
62,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_215823.jpg
63,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_215827.jpg
64,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_215843.jpg
65,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_215848.jpg
66,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_215852.jpg
67,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_215902.jpg
68,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_215914.jpg
69,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_215919.jpg
70,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_215927.jpg
71,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_215931.jpg
72,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_215936.jpg
73,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_215947.jpg
74,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_215951.jpg
75,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_215956.jpg
76,Dry,NA,Wet,House,Pravada,Bin,Plastic,IMG_20180205_220006.jpg
77,Dry,NA,Wet,House,Pravada,Bin,Plastic,IMG_20180205_220009.jpg
78,Dry,NA,Wet,House,Pravada,Bin,Plastic,IMG_20180205_220014.jpg
79,Dry,NA,Wet,House,Pravada,Bin,Plastic,IMG_20180205_220051.jpg
80,Dry,NA,Wet,House,Pravada,Bin,Plastic,IMG_20180205_220059.jpg
81,Dry,NA,Wet,House,Pravada,Bin,Plastic,IMG_20180205_220105.jpg
82,Dry,NA,NA,House,Pravada,Bin,Plastic,IMG_20180205_220113.jpg
83,Dry,NA,NA,House,Pravada,Bin,Plastic,IMG_20180205_220119.jpg
84,Dry,NA,NA,House,Pravada,Bin,Plastic,IMG_20180205_220126.jpg
85,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_220145.jpg
86,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_220150.jpg
87,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_220153.jpg
88,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_220203.jpg
89,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_220207.jpg
90,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_220214.jpg
91,Dry,NA,NA,House,Pravada,Bin,Plastic,IMG_20180205_220313.jpg
92,Dry,NA,NA,House,Pravada,Bin,Plastic,IMG_20180205_220318.jpg
93,Dry,NA,Wet,House,Pravada,Bin,Plastic,IMG_20180205_220323.jpg
94,Wet,Dry,NA,House,Pravada,Bin,Plastic,IMG_20180205_220333.jpg
95,Wet,Dry,NA,House,Pravada,Bin,Plastic,IMG_20180205_220337.jpg
96,Wet,Dry,NA,House,Pravada,Bin,Plastic,IMG_20180205_220344.jpg
97,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_220353.jpg
98,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_220357.jpg
99,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_220402.jpg
100,Wet,Dry,NA,House,Pravada,Bin,Plastic,IMG_20180205_220418.jpg
101,Wet,Dry,NA,House,Pravada,Bin,Plastic,IMG_20180205_220422.jpg
102,Wet,Dry,NA,House,Pravada,Bin,Plastic,IMG_20180205_220426.jpg
103,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_220517.jpg
104,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_220522.jpg
105,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_220526.jpg
106,Dry,NA,NA,House,Pravada,Bin,Plastic,IMG_20180205_220539.jpg
107,Dry,NA,NA,House,Pravada,Bin,Plastic,IMG_20180205_220543.jpg
108,Dry,NA,Wet,House,Pravada,Bin,Plastic,IMG_20180205_220554.jpg
109,Dry,NA,Wet,House,Pravada,Bin,Plastic,IMG_20180205_220558.jpg
110,Dry,NA,Wet,House,Pravada,Bin,Plastic,IMG_20180205_220603.jpg
111,Dry,NA,Wet,House,Pravada,Bin,Plastic,IMG_20180205_220613.jpg
112,Dry,NA,Wet,House,Pravada,Bin,Plastic,IMG_20180205_220617.jpg
113,Dry,NA,Wet,House,Pravada,Bin,Plastic,IMG_20180205_220621.jpg
114,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_220634.jpg
115,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_220639.jpg
116,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_220644.jpg
117,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_220652.jpg
118,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_220656.jpg
119,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_220700.jpg
120,Dry,NA,Reject,House,Pravada,Bin,Plastic,IMG_20180205_220747.jpg
121,Dry,NA,Reject,House,Pravada,Bin,Plastic,IMG_20180205_220751.jpg
122,Dry,NA,Reject,House,Pravada,Bin,Plastic,IMG_20180205_220756.jpg
123,Dry,Reject,Wet,House,Pravada,Bin,Plastic,IMG_20180205_220807.jpg
124,Dry,Reject,Wet,House,Pravada,Bin,Plastic,IMG_20180205_220811.jpg
125,Dry,Reject,Wet,House,Pravada,Bin,Plastic,IMG_20180205_220815.jpg
126,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_220825.jpg
127,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_220830.jpg
128,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_220834.jpg
129,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_220839.jpg
130,Wet,Dry,NA,House,Pravada,Bin,Plastic,IMG_20180205_220852.jpg
131,Wet,Dry,NA,House,Pravada,Bin,Plastic,IMG_20180205_220855.jpg
132,Wet,Dry,NA,House,Pravada,Bin,Plastic,IMG_20180205_220902.jpg
133,Wet,Dry,NA,House,Pravada,Bin,Plastic,IMG_20180205_220907.jpg
134,Dry,NA,Wet,House,Pravada,Bin,Plastic,IMG_20180205_220918.jpg
135,Dry,NA,Wet,House,Pravada,Bin,Plastic,IMG_20180205_220922.jpg
136,Dry,NA,Wet,House,Pravada,Bin,Plastic,IMG_20180205_220927.jpg
137,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_220933.jpg
138,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_220937.jpg
139,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180205_220944.jpg
140,Dry,NA,Wet,House,Pravada,Bin,Plastic,IMG_20180205_221028.jpg
141,Dry,NA,Wet,House,Pravada,Bin,Plastic,IMG_20180205_221033.jpg
142,Dry,NA,Wet,House,Pravada,Bin,Plastic,IMG_20180205_221038.jpg
143,Wet,Dry,NA,House,Pravada,Bin,Plastic,IMG_20180205_221046.jpg
144,Wet,Dry,NA,House,Pravada,Bin,Plastic,IMG_20180205_221050.jpg
145,Wet,Dry,NA,House,Pravada,Bin,Plastic,IMG_20180205_221055.jpg
146,Dry,NA,NA,House,Pravada,Bin,Plastic,IMG_20180206_193157.jpg
147,Dry,NA,NA,House,Pravada,Bin,Plastic,IMG_20180206_193200.jpg
148,Dry,NA,NA,House,Pravada,Bin,Plastic,IMG_20180206_193205.jpg
149,Wet,Dry,NA,House,Pravada,Bin,Plastic,IMG_20180206_193233.jpg
150,Dry,Reject,Wet,House,Pravada,Bin,Plastic,IMG_20180206_193338.jpg
151,Dry,Reject,Wet,House,Pravada,Bin,Plastic,IMG_20180206_193342.jpg
152,Dry,Reject,Wet,House,Pravada,Bin,Plastic,IMG_20180206_193347.jpg
153,Dry,Reject,Wet,House,Pravada,Bin,Plastic,IMG_20180206_193356.jpg
154,Dry,Reject,Wet,House,Pravada,Bin,Plastic,IMG_20180206_193401.jpg
155,Dry,Reject,Wet,House,Pravada,Bin,Plastic,IMG_20180206_193407.jpg
156,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180206_193419.jpg
157,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180206_193423.jpg
158,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180206_193428.jpg
159,Wet,Dry,NA,House,Pravada,Bin,Plastic,IMG_20180206_193437.jpg
160,Wet,Dry,NA,House,Pravada,Bin,Plastic,IMG_20180206_193442.jpg
161,Wet,Dry,NA,House,Pravada,Bin,Plastic,IMG_20180206_193445.jpg
162,Dry,NA,Reject,House,Pravada,Bin,Plastic,IMG_20180206_193455.jpg
163,Dry,NA,Reject,House,Pravada,Bin,Plastic,IMG_20180206_193459.jpg
164,Dry,NA,Reject,House,Pravada,Bin,Plastic,IMG_20180206_193503.jpg
165,Dry,NA,NA,House,Pravada,Bin,Plastic,IMG_20180206_193514.jpg
166,Dry,NA,NA,House,Pravada,Bin,Plastic,IMG_20180206_193519.jpg
167,Dry,NA,NA,House,Pravada,Bin,Plastic,IMG_20180206_193521.jpg
168,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180206_215310.jpg
169,Dry,Wet,NA,House,Pravada,Bin,Plastic,IMG_20180206_215314.jpg
