Serial No,Primary,Secondary,Tertiary,Source,Photographer,Receptacle,Lining,Image Name
1,Dry,Reject,Wet,House,Manoj-Sample,Bin,Plastic,IMG_20180126_094304321.jpg
2,Dry,Reject,Wet,House,Manoj-Sample,Bin,Plastic,IMG_20180126_094308239.jpg
3,Dry,Reject,Wet,House,Manoj-Sample,Bin,Plastic,IMG_20180126_094311695.jpg
4,Wet,NA,Dry,Road Side,Manoj-Sample,None,None,IMG_20180128_092841548.jpg
5,Wet,NA,Dry,Road Side,Manoj-Sample,None,None,IMG_20180128_092855112.jpg
6,Wet,NA,Dry,Road Side,Manoj-Sample,None,None,IMG_20180128_092902246.jpg
7,Dry,NA,Wet,House,Manoj-Sample,Bin,Plastic,IMG_20180128_092914074.jpg
8,Dry,NA,Wet,House,Manoj-Sample,Bin,Plastic,IMG_20180128_092916743.jpg
9,Dry,NA,Wet,House,Manoj-Sample,Bin,Plastic,IMG_20180128_092918986.jpg
10,Wet,NA,Dry,Road Side,Manoj-Sample,None,None,IMG_20180128_092924738.jpg
11,Wet,NA,Dry,Road Side,Manoj-Sample,None,None,IMG_20180128_092927341.jpg
12,Wet,Garden,Dry,Road Side,Manoj-Sample,None,None,IMG_20180128_092945572.jpg
13,Wet,Garden,Dry,Road Side,Manoj-Sample,None,None,IMG_20180128_092949647.jpg
14,Wet,NA,Dry,Road Side,Manoj-Sample,None,None,IMG_20180128_092953081.jpg
15,Wet,Dry,Garden,Collection Vehicle,Manoj-Sample,None,None,IMG_20180128_092956141.jpg
16,Wet,Dry,Garden,Collection Vehicle,Manoj-Sample,None,None,IMG_20180128_092957774.jpg
17,Wet,Dry,Garden,Collection Vehicle,Manoj-Sample,None,None,IMG_20180128_092959476.jpg
18,Wet,Dry,Garden,Collection Vehicle,Manoj-Sample,None,None,IMG_20180128_093002174.jpg
19,Wet,Dry,Garden,Collection Vehicle,Manoj-Sample,None,None,IMG_20180128_093003972.jpg
20,Dry,NA,Wet,Collection Vehicle,Manoj-Sample,None,None,IMG_20180128_093016902.jpg
21,Dry,NA,Wet,Collection Vehicle,Manoj-Sample,None,None,IMG_20180128_093018335.jpg
22,Dry,NA,Wet,Collection Vehicle,Manoj-Sample,None,None,IMG_20180128_093020264.jpg
23,Dry,NA,Wet,Collection Vehicle,Manoj-Sample,None,None,IMG_20180128_093029056_HDR.jpg
24,Dry,NA,Wet,Collection Vehicle,Manoj-Sample,None,None,IMG_20180128_093032061.jpg
25,Dry,NA,Wet,Collection Vehicle,Manoj-Sample,None,None,IMG_20180128_093034057.jpg
